income	gender	weight
50000	2	160
81000	1	180
-2	2	130
51000	2	250
68000	1	185
-2	2	170
0	1	-5
65000	2	150
30000	1	180
-5	1	140
17000	2	165
68000	1	230
-2	1	125
-4	1	-5
12000	2	90
20000	1	199
-5	2	190
-4	1	135
20000	1	145
-5	1	175
-4	1	160
40000	1	220
56813	2	110
-4	1	145
-4	2	227
-4	1	165
-4	1	150
40000	2	175
-5	2	-5
-5	1	-5
85000	1	135
146002	2	130
16000	2	130
-4	2	120
42500	1	170
-4	2	134
50000	2	132
55000	2	150
-2	1	175
-5	2	110
45000	2	110
-5	1	180
-4	2	110
-4	1	160
-4	2	150
-4	1	230
23000	2	140
56000	2	170
30000	2	155
24000	2	135
28000	1	160
25000	1	250
26000	2	120
25000	2	140
40156	2	-2
67000	2	155
-2	1	138
70000	1	215
-4	2	-1
-4	1	-2
30000	2	-2
27000	1	235
-4	2	153
-5	1	165
-4	1	-1
-5	1	160
-4	1	180
-4	1	150
49000	2	135
50000	1	160
40000	1	190
-5	2	125
-5	1	168
3000	1	-5
36000	1	145
60000	1	145
-5	2	124
-4	2	132
13000	1	150
-4	1	200
5000	2	175
30000	1	-5
28000	1	175
38000	2	-5
32000	1	205
37000	2	105
-5	1	175
146002	1	-5
61000	1	200
26000	1	220
47000	2	220
-4	1	125
31000	1	140
45000	2	137
-5	1	180
-5	1	-5
56000	1	165
-1	1	-5
-5	1	140
-2	2	150
-2	2	190
40000	2	-5
-5	2	-5
20000	2	215
69000	1	205
-5	1	-5
20000	2	120
55000	1	170
55000	2	118
57000	2	150
-4	2	125
-5	2	122
20000	1	161
40000	2	195
50000	2	-5
22000	1	140
25000	1	230
-5	1	150
-5	1	-5
-5	1	-5
-5	1	125
28000	1	122
-5	1	-5
-5	1	-5
-5	2	132
57000	1	145
-5	2	162
53000	2	160
-5	2	120
-5	2	-5
-5	1	-5
59000	1	-5
77000	1	-5
-5	1	222
53000	1	190
-5	2	125
15000	2	139
-4	1	162
-5	2	-5
-5	1	-5
-5	2	-5
35000	2	-5
54000	1	-5
40000	1	185
55000	1	200
30000	1	217
-4	2	120
-4	2	160
-4	2	170
-4	1	165
89000	2	190
28000	1	-5
-4	2	180
-5	1	-5
146002	1	180
60000	1	128
49500	2	245
55000	1	265
25000	2	218
-2	2	150
-4	1	-2
42000	2	-1
-4	1	-5
45000	2	140
146002	1	212
92000	2	155
-4	1	271
-2	1	122
-4	2	195
22000	2	200
36500	2	121
-5	1	-5
-5	2	-5
-5	1	-5
-5	2	-5
73000	1	195
60000	2	181
49500	2	130
-5	2	-5
-1	1	180
30000	2	170
87000	2	128
40000	2	140
-5	1	170
-4	1	170
-5	2	-5
70000	1	180
-5	2	120
-5	2	-5
10000	1	190
28000	1	175
-4	2	140
-4	2	150
35000	2	213
20000	1	170
-5	1	-5
-1	2	-5
28000	2	172
21000	1	135
5400	1	170
-2	2	100
30000	1	195
64000	2	120
54000	2	250
20000	2	102
47000	1	150
-5	2	130
-5	2	130
-5	1	140
-5	1	130
60000	2	-1
64800	1	155
-4	2	122
-5	2	116
38000	1	145
32000	2	256
5000	2	-5
-5	1	-5
26000	1	195
-5	1	330
32000	2	105
80000	1	140
-4	1	160
36000	2	165
48000	1	230
-2	2	-1
-4	2	-1
25000	1	140
40000	2	113
45000	1	170
-4	1	155
28000	1	-5
28000	1	150
27000	2	120
50000	2	115
36000	2	115
42000	1	135
-4	2	120
-2	1	198
70000	2	100
41659	2	140
60000	1	220
-4	2	125
